date,amount,category,payment_mode,description,income
01-01-2025,446.0,Food,UPI,Daily Meals,60000.0
02-01-2025,406.0,Food,UPI,Daily Meals,60000.0
03-01-2025,651.0,Food,UPI,Daily Meals,60000.0
04-01-2025,318.0,Food,UPI,Daily Meals,60000.0
05-01-2025,718.0,Food,UPI,Daily Meals,60000.0
06-01-2025,526.0,Food,UPI,Daily Meals,60000.0
07-01-2025,206.0,Food,UPI,Daily Meals,60000.0
08-01-2025,419.0,Food,UPI,Daily Meals,60000.0
09-01-2025,424.0,Food,UPI,Daily Meals,60000.0
10-01-2025,529.0,Food,UPI,Daily Meals,60000.0
11-01-2025,473.0,Food,UPI,Daily Meals,60000.0
12-01-2025,449.0,Food,UPI,Daily Meals,60000.0
13-01-2025,603.0,Food,UPI,Daily Meals,60000.0
14-01-2025,540.0,Food,UPI,Daily Meals,60000.0
15-01-2025,696.0,Food,UPI,Daily Meals,60000.0
16-01-2025,372.0,Food,UPI,Daily Meals,60000.0
17-01-2025,797.0,Food,UPI,Daily Meals,60000.0
18-01-2025,563.0,Food,UPI,Daily Meals,60000.0
19-01-2025,745.0,Food,UPI,Daily Meals,60000.0
20-01-2025,362.0,Food,UPI,Daily Meals,60000.0
21-01-2025,789.0,Food,UPI,Daily Meals,60000.0
22-01-2025,385.0,Food,UPI,Daily Meals,60000.0
23-01-2025,346.0,Food,UPI,Daily Meals,60000.0
24-01-2025,563.0,Food,UPI,Daily Meals,60000.0
25-01-2025,796.0,Food,UPI,Daily Meals,60000.0
26-01-2025,692.0,Food,UPI,Daily Meals,60000.0
27-01-2025,469.0,Food,UPI,Daily Meals,60000.0
28-01-2025,397.0,Food,UPI,Daily Meals,60000.0
29-01-2025,201.0,Food,UPI,Daily Meals,60000.0
30-01-2025,637.0,Food,UPI,Daily Meals,60000.0
31-01-2025,657.0,Food,UPI,Daily Meals,60000.0
01-02-2025,672.0,Food,UPI,Daily Meals,60000.0
02-02-2025,643.0,Food,UPI,Daily Meals,60000.0
03-02-2025,615.0,Food,UPI,Daily Meals,60000.0
04-02-2025,605.0,Food,UPI,Daily Meals,60000.0
05-02-2025,510.0,Food,UPI,Daily Meals,60000.0
06-02-2025,373.0,Food,UPI,Daily Meals,60000.0
07-02-2025,213.0,Food,UPI,Daily Meals,60000.0
08-02-2025,640.0,Food,UPI,Daily Meals,60000.0
09-02-2025,800.0,Food,UPI,Daily Meals,60000.0
10-02-2025,279.0,Food,UPI,Daily Meals,60000.0
11-02-2025,380.0,Food,UPI,Daily Meals,60000.0
12-02-2025,800.0,Food,UPI,Daily Meals,60000.0
13-02-2025,747.0,Food,UPI,Daily Meals,60000.0
14-02-2025,720.0,Food,UPI,Daily Meals,60000.0
15-02-2025,727.0,Food,UPI,Daily Meals,60000.0
16-02-2025,423.0,Food,UPI,Daily Meals,60000.0
17-02-2025,712.0,Food,UPI,Daily Meals,60000.0
18-02-2025,631.0,Food,UPI,Daily Meals,60000.0
19-02-2025,445.0,Food,UPI,Daily Meals,60000.0
20-02-2025,597.0,Food,UPI,Daily Meals,60000.0
21-02-2025,709.0,Food,UPI,Daily Meals,60000.0
22-02-2025,294.0,Food,UPI,Daily Meals,60000.0
23-02-2025,348.0,Food,UPI,Daily Meals,60000.0
24-02-2025,762.0,Food,UPI,Daily Meals,60000.0
25-02-2025,424.0,Food,UPI,Daily Meals,60000.0
26-02-2025,337.0,Food,UPI,Daily Meals,60000.0
27-02-2025,590.0,Food,UPI,Daily Meals,60000.0
28-02-2025,220.0,Food,UPI,Daily Meals,60000.0
01-03-2025,340.0,Food,UPI,Daily Meals,60000.0
02-03-2025,365.0,Food,UPI,Daily Meals,60000.0
03-03-2025,708.0,Food,UPI,Daily Meals,60000.0
04-03-2025,301.0,Food,UPI,Daily Meals,60000.0
05-03-2025,544.0,Food,UPI,Daily Meals,60000.0
06-03-2025,218.0,Food,UPI,Daily Meals,60000.0
07-03-2025,632.0,Food,UPI,Daily Meals,60000.0
08-03-2025,318.0,Food,UPI,Daily Meals,60000.0
09-03-2025,787.0,Food,UPI,Daily Meals,60000.0
10-03-2025,701.0,Food,UPI,Daily Meals,60000.0
11-03-2025,612.0,Food,UPI,Daily Meals,60000.0
12-03-2025,342.0,Food,UPI,Daily Meals,60000.0
13-03-2025,582.0,Food,UPI,Daily Meals,60000.0
14-03-2025,212.0,Food,UPI,Daily Meals,60000.0
15-03-2025,684.0,Food,UPI,Daily Meals,60000.0
16-03-2025,402.0,Food,UPI,Daily Meals,60000.0
17-03-2025,725.0,Food,UPI,Daily Meals,60000.0
18-03-2025,457.0,Food,UPI,Daily Meals,60000.0
19-03-2025,286.0,Food,UPI,Daily Meals,60000.0
20-03-2025,633.0,Food,UPI,Daily Meals,60000.0
21-03-2025,300.0,Food,UPI,Daily Meals,60000.0
22-03-2025,201.0,Food,UPI,Daily Meals,60000.0
23-03-2025,573.0,Food,UPI,Daily Meals,60000.0
24-03-2025,630.0,Food,UPI,Daily Meals,60000.0
25-03-2025,783.0,Food,UPI,Daily Meals,60000.0
26-03-2025,702.0,Food,UPI,Daily Meals,60000.0
27-03-2025,585.0,Food,UPI,Daily Meals,60000.0
28-03-2025,278.0,Food,UPI,Daily Meals,60000.0
29-03-2025,201.0,Food,UPI,Daily Meals,60000.0
30-03-2025,407.0,Food,UPI,Daily Meals,60000.0
31-03-2025,533.0,Food,UPI,Daily Meals,60000.0
01-04-2025,304.0,Food,UPI,Daily Meals,60000.0
02-04-2025,652.0,Food,UPI,Daily Meals,60000.0
03-04-2025,360.0,Food,UPI,Daily Meals,60000.0
04-04-2025,777.0,Food,UPI,Daily Meals,60000.0
05-04-2025,755.0,Food,UPI,Daily Meals,60000.0
06-04-2025,247.0,Food,UPI,Daily Meals,60000.0
07-04-2025,695.0,Food,UPI,Daily Meals,60000.0
08-04-2025,236.0,Food,UPI,Daily Meals,60000.0
09-04-2025,485.0,Food,UPI,Daily Meals,60000.0
10-04-2025,528.0,Food,UPI,Daily Meals,60000.0
11-04-2025,504.0,Food,UPI,Daily Meals,60000.0
12-04-2025,317.0,Food,UPI,Daily Meals,60000.0
13-04-2025,232.0,Food,UPI,Daily Meals,60000.0
14-04-2025,622.0,Food,UPI,Daily Meals,60000.0
15-04-2025,607.0,Food,UPI,Daily Meals,60000.0
16-04-2025,484.0,Food,UPI,Daily Meals,60000.0
17-04-2025,621.0,Food,UPI,Daily Meals,60000.0
18-04-2025,555.0,Food,UPI,Daily Meals,60000.0
19-04-2025,201.0,Food,UPI,Daily Meals,60000.0
20-04-2025,303.0,Food,UPI,Daily Meals,60000.0
21-04-2025,442.0,Food,UPI,Daily Meals,60000.0
22-04-2025,312.0,Food,UPI,Daily Meals,60000.0
23-04-2025,795.0,Food,UPI,Daily Meals,60000.0
24-04-2025,577.0,Food,UPI,Daily Meals,60000.0
25-04-2025,241.0,Food,UPI,Daily Meals,60000.0
26-04-2025,588.0,Food,UPI,Daily Meals,60000.0
27-04-2025,731.0,Food,UPI,Daily Meals,60000.0
28-04-2025,736.0,Food,UPI,Daily Meals,60000.0
29-04-2025,355.0,Food,UPI,Daily Meals,60000.0
30-04-2025,787.0,Food,UPI,Daily Meals,60000.0
01-05-2025,644.0,Food,UPI,Daily Meals,60000.0
02-05-2025,715.0,Food,UPI,Daily Meals,60000.0
03-05-2025,210.0,Food,UPI,Daily Meals,60000.0
04-05-2025,505.0,Food,UPI,Daily Meals,60000.0
05-05-2025,641.0,Food,UPI,Daily Meals,60000.0
06-05-2025,654.0,Food,UPI,Daily Meals,60000.0
07-05-2025,720.0,Food,UPI,Daily Meals,60000.0
08-05-2025,369.0,Food,UPI,Daily Meals,60000.0
09-05-2025,625.0,Food,UPI,Daily Meals,60000.0
10-05-2025,298.0,Food,UPI,Daily Meals,60000.0
11-05-2025,585.0,Food,UPI,Daily Meals,60000.0
12-05-2025,338.0,Food,UPI,Daily Meals,60000.0
13-05-2025,609.0,Food,UPI,Daily Meals,60000.0
14-05-2025,472.0,Food,UPI,Daily Meals,60000.0
15-05-2025,543.0,Food,UPI,Daily Meals,60000.0
16-05-2025,690.0,Food,UPI,Daily Meals,60000.0
